6883 pfam01385
6699 pfam07282
5189 pfam01609
4226 COG0675
3016 COG5421
2878 pfam02371
2865 pfam05598
2695 pfam01548
2531 pfam01797
2478 pfam13358
2230 COG3415
1940 pfam00665
1708 pfam03050
1622 pfam00989
1576 pfam12323
1427 pfam13005
1400 pfam00872
1378 COG3829
1354 pfam13276
1338 pfam01527
1309 COG2452
1300 cd00798
1074 COG2205
1070 cd06174
1058 pfam13546
1053 cd00156
1051 pfam13333
1005 pfam00083
 992 pfam08448
 963 COG1470
 873 COG4974
 868 COG5002
 862 COG1522
 841 COG4932
 791 COG5558
 784 COG0531
 783 COG1943
 776 COG1061
 764 cd00189
 745 COG3677
 738 pfam01637
 737 pfam08447
 715 pfam08400
 715 pfam07210
 715 pfam06707
 715 pfam05738
 713 COG1645
 673 pfam13737
 658 COG3466
 646 pfam04102
 636 COG3920
 635 COG1662
 611 COG1598
 609 cd00090
 601 pfam13683
 596 pfam03008
 591 pfam05048
 590 cd11386
 587 COG1222
 585 COG0644
 573 COG1830
 570 pfam07508
 561 cd00130
 536 COG3464
 513 COG1948
 495 COG3287
 495 COG1111
 495 COG0423
 489 pfam13751
 489 cd01182
 468 cd03768
 467 cd03801
 456 pfam01090
 451 COG1474
 449 COG0655
 448 cd05344
 443 COG0601
 442 cd04585
 433 COG1405
 430 cd00146
 426 cd00378
 420 cd05403
 420 COG2271
 420 COG1340
 412 COG1201
 410 COG0419
 407 pfam04693
 407 pfam03706
 405 COG0338
 403 COG0730
 394 COG0704
 392 COG4978
 392 COG0017
 378 pfam13443
 378 pfam13166
 378 pfam09479
 378 cd13957
 377 COG0833
 376 pfam13551
 376 COG2226
 375 COG1373
 371 cd04179
 365 COG3316
 365 COG0560
 360 cd09203
 359 pfam02787
 356 COG1251
 355 COG1252
 355 COG0458
 354 cd01424
 347 pfam00801
 345 COG1235
 342 cd01139
 342 COG2023
 342 COG1756
 341 COG1173
 341 COG0433
 336 pfam01663
 336 cd01899
 336 cd00616
 333 pfam07592
 332 pfam14690
 332 pfam00672
 331 COG4637
 330 pfam11907
 330 pfam04123
 330 cd04635
 330 cd04633
 330 cd04631
 330 cd04621
 330 cd01714
 330 COG2211
 330 COG2025
 329 cd01669
 328 pfam01949
 326 pfam02743
 325 COG0535
 323 COG2814
 317 pfam01321
 317 cd01092
 315 cd05301
 315 COG0610
 315 COG0449
 311 COG1529
 308 cd04860
 301 pfam05626
 300 cd04189
 298 cd08512
 298 cd07940
 298 COG0347
 298 COG0231
 295 pfam01950
 294 cd00293
 294 COG0456
 293 pfam06745
 291 cd03786
 290 pfam00324
 288 COG0177
 287 COG1123
 282 cd03794
 282 COG0061
 281 pfam03833
 281 COG1721
 277 COG1733
 275 COG1134
 274 cd08173
 274 COG4742
 274 COG1860
 273 COG3875
 270 pfam02359
 268 cd01515
 268 COG1933
 267 COG1131
 265 cd05636
 263 COG1004
 261 pfam09171
 261 COG1797
 255 COG1378
 254 cd00685
 252 pfam13847
 252 COG2073
 251 pfam01610
 250 pfam13245
 250 pfam13195
 250 COG1112
 248 pfam02577
 248 COG0334
 247 COG3413
 247 COG0041
 246 cd11475
 246 COG3370
 244 COG0071
 242 pfam01555
 240 pfam02384
 239 cd09725
 239 cd03293
 239 COG1506
 238 pfam01984
 238 cd08266
 238 cd03343
 238 cd01193
 238 COG0715
 238 COG0600
 235 cd00338
 235 COG4536
 232 COG2518
 231 cd02040
 231 COG2120
 231 COG1479
 230 pfam07510
 226 pfam13011
 226 pfam09820
 226 COG2227
 225 COG0149
 224 pfam08450
 224 cd11593
 224 cd09722
 224 COG1084
 224 COG0474
 223 cd05256
 221 COG5006
 221 COG5000
 221 COG1695
 221 COG1326
 221 COG1192
 220 COG1250
 220 COG0630
 219 cd04187
 219 COG3063
 218 cd01124
 218 cd01117
 217 COG1489
 215 cd10938
 215 COG3269
 214 COG3586
 214 COG1533
 214 COG0492
 213 pfam01972
 213 cd04491
 213 cd04186
 213 COG2101
 212 pfam07885
 212 pfam04014
 212 cd01314
 212 cd01309
 212 COG2986
 211 pfam08011
 211 cd07386
 210 pfam05935
 210 cd08347
 210 cd08346
 210 cd04847
 210 cd04490
 210 COG5015
 210 COG2215
 210 COG1141
 208 cd06828
 208 COG0503
 207 COG0842
 206 pfam13542
 204 pfam12705
 202 cd12870
 202 COG2150
 202 COG0665
 200 COG0057
 198 pfam02361
 198 cd03225
 198 COG1682
 198 COG1249
 198 COG0464
 196 pfam11513
 196 cd05974
 196 COG4124
 195 COG1955
 193 pfam07758
 193 COG0621
 192 COG1872
 191 cd02947
 190 cd00431
 190 COG1457
 189 cd05333
 189 COG1416
 189 COG0107
 188 COG0496
 187 pfam13489
 186 pfam10133
 186 cd13147
 186 cd02037
 184 cd09641
 184 COG0144
 183 COG1907
 183 COG1203
 183 COG1148
 183 COG0790
 182 pfam14811
 182 pfam07726
 182 cd06582
 182 cd06581
 182 cd06345
 182 cd06164
